#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
223000,223.000000001,-577352.407032,300.90776575,1.00398659801,23.3
224000,224.000000001,-576295.402997,300.429854963,1.00515618257,23.3
225000,225.000000001,-576961.811498,300.655385937,1.00386812931,23.3
226000,226.000000001,-576341.167365,300.391804166,1.00316347327,23.3
227000,227.000000001,-575716.437951,301.460386886,1.00675388921,23.3
228000,228.000000001,-577026.933614,302.049646011,1.00818942687,23.3
229000,229.000000001,-576461.808619,297.937300708,1.00431390332,23.3
230000,230.000000001,-576108.46531,302.77211261,1.00358942211,23.3
231000,231.000000001,-575574.640382,301.119837122,1.00507451168,23.3
232000,232.000000001,-575532.136949,299.353804508,1.00342531992,23.3
233000,233.000000001,-575935.746934,298.050367013,1.00718456481,23.3
234000,234.000000001,-575324.131353,300.399979579,1.00361475317,23.3
235000,235.000000001,-574938.513967,300.572093347,1.00377792254,23.3
236000,236.000000001,-574986.787265,303.181938404,1.00585610518,23.3
237000,237.000000001,-576753.400153,301.931226716,1.00618915669,23.3
238000,238.000000001,-576587.14469,301.284298933,1.00146171609,23.3
239000,239.000000001,-576434.414518,301.37549607,1.00021052455,23.3
240000,240.000000001,-576868.634335,301.134585816,1.00385326394,23.3
241000,241.000000001,-576488.342484,300.119491925,1.00133757711,23.3
242000,242.000000001,-577352.337761,301.969571471,1.00722478651,23.3
243000,243.000000001,-576256.998581,301.921649898,1.00987144796,23.3
244000,244.000000001,-575821.776352,298.709086594,1.0046494757,23.3
245000,245.000000001,-576077.584921,299.369993806,1.00397983266,23.3
246000,246.000000001,-575428.192725,301.063191933,1.00543253563,23.3
247000,247.000000001,-576723.172352,301.45285271,1.00986190121,23.3
248000,248.000000001,-574928.317508,298.079571948,1.00235192062,23.3
249000,249.000000001,-576082.895821,302.288570697,1.00061298544,23.3
250000,250.000000001,-574988.484148,299.275095852,0.999884122034,23.3
251000,251.000000001,-576230.738096,302.024362782,1.00373586341,23.3
252000,252.000000001,-575841.791018,301.023581792,1.0056549434,23.3
253000,253.000000001,-575992.187017,303.987217828,1.00437334625,23.3
254000,254.000000001,-576265.077205,298.694103241,1.00324808002,23.3
255000,255.000000001,-576765.555829,303.23292693,1.00567090431,23.3
256000,256.000000001,-576532.985589,300.178116475,1.00689297158,23.3
257000,257.000000001,-576738.168969,301.09356434,1.00464839443,23.3
258000,258.000000001,-576740.976581,300.652166154,1.00422607988,23.3
259000,259.000000001,-576609.614642,300.916403811,1.00843900184,23.3
260000,260.000000001,-576109.443275,296.980186041,1.00553983745,23.3
261000,261.000000001,-576970.962619,297.996133428,1.00593461918,23.3
262000,262.000000001,-576015.907023,298.675953268,1.0058708984,23.3
263000,263.000000001,-576266.989869,300.534113087,1.00502462738,23.3
264000,264.000000001,-576192.899321,298.6330969,1.00663250843,23.3
265000,265.000000001,-576199.2385,301.027148676,1.00476788067,23.3
266000,266.000000001,-575820.835799,301.22009663,1.00655345761,23.3
267000,267.000000001,-576686.157246,299.294140515,1.00618775562,23.3
268000,268.000000001,-575784.962871,299.813883494,1.00647821546,23.3
269000,269.000000001,-575509.967033,300.343150531,1.00210489267,23.3
270000,270.000000001,-575289.383402,298.531914549,1.00437861708,23.3
271000,271.000000001,-575529.519896,301.506681609,1.00348715168,23.3
272000,272.0,-576827.12814,299.927706658,1.00316502655,23.3
273000,273.0,-575352.903293,297.704613738,0.998914428573,23.3
274000,274.0,-575682.939741,300.762582082,1.00506652702,23.3
